月份,社会融资规模增量,其中-人民币贷款,其中-委托贷款外币贷款,其中-委托贷款,其中-信托贷款,其中-未贴现银行承兑汇票,其中-企业债券,其中-非金融企业境内股票融资
2024-01-01,64734,48401,989,-359,732,5636,4320,422.0
2024-02-01,14959,9773,-9,-172,571,-3686,1423,114.0
2024-03-01,48335,32920,543,-465,681,3552,4237,227.0
2024-04-01,-658,3349,-310,89,142,-4490,1707,186.0
2024-05-01,20623,8197,-487,-9,224,-1331,285,111.0
2024-06-01,32985,21927,-807,-3,748,-2045,2100,154.0
2024-07-01,7707,-808,-890,345,-26,-1075,2036,231.0
2024-08-01,30323,10411,-612,25,484,651,1703,132.0
2024-09-01,37635,19742,-480,392,6,1312,-1926,128.0
2024-10-01,14000,2965,-710,-219,172,-1397,987,284.0
